id,name,description,price,stock,category,image
1,Samsung Galaxy A54 5G,"6.4in AMOLED 120Hz, 128GB, 5000mAh, 50MP camera, Android 13, IP67",450000.00,24,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Back_of_the_Samsung_Galaxy_A54_5G.jpg/330px-Back_of_the_Samsung_Galaxy_A54_5G.jpg
2,Samsung Galaxy A34 5G,"6.6in AMOLED, 128GB, 5000mAh, 48MP camera, Dimensity 1080, 25W charge",320000.00,30,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/%EC%82%BC%EC%84%B1_%EA%B0%A4%EB%9F%AD%EC%8B%9C_A34.jpg/330px-%EC%82%BC%EC%84%B1_%EA%B0%A4%EB%9F%AD%EC%8B%9C_A34.jpg
3,Samsung Galaxy A14,"6.6in PLS LCD, 64GB, 5000mAh, 50MP triple camera, entry-level",130000.00,50,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Samsung_Galaxy_A14_5G_2023_model_%28cropped%29.jpg/330px-Samsung_Galaxy_A14_5G_2023_model_%28cropped%29.jpg
4,Samsung Galaxy A24,"6.5in AMOLED 90Hz, 128GB, 5000mAh, 50MP camera, 25W fast charge",210000.00,35,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/%EC%82%BC%EC%84%B1_%EA%B0%A4%EB%9F%AD%EC%8B%9C_A24.jpg/330px-%EC%82%BC%EC%84%B1_%EA%B0%A4%EB%9F%AD%EC%8B%9C_A24.jpg
5,Samsung Galaxy S23,"6.1in Dynamic AMOLED 120Hz, 256GB, Snapdragon 8 Gen 2, 50MP camera",980000.00,12,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Galaxy_S23.png/330px-Galaxy_S23.png
6,Samsung Galaxy S23 Ultra,"6.8in QHD+ AMOLED, 512GB, 200MP camera, S Pen, 5000mAh",1650000.00,6,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Galaxy_S23.png/330px-Galaxy_S23.png
7,Samsung Galaxy Z Fold5,"7.6in foldable AMOLED, 256GB, Snapdragon 8 Gen 2, dual screen",2200000.00,4,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Samsung_Galaxy_Z_Fold_5_%28Gray%29.png/330px-Samsung_Galaxy_Z_Fold_5_%28Gray%29.png
8,Samsung Galaxy Z Flip5,"6.7in foldable AMOLED, 256GB, Snapdragon 8 Gen 2, compact flip",1450000.00,5,Smartphones & Tablets,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Samsung_Galaxy_Z_Flip_5_%28Cream%29.png/330px-Samsung_Galaxy_Z_Flip_5_%28Cream%29.png
9,iPhone 14 128GB,"6.1in Super Retina XDR, A15 Bionic, 12MP dual camera, iOS 16, 5G",1350000.00,10,Smartphones & Tablets,products/p9.jpg
10,iPhone 14 Pro 256GB,"6.1in ProMotion OLED, A16 Bionic, 48MP triple camera, Dynamic Island",1750000.00,7,Smartphones & Tablets,products/p10.jpg
11,iPhone 15 128GB,"6.1in Super Retina XDR, A16 Bionic, 48MP camera, USB-C, iOS 17",1480000.00,9,Smartphones & Tablets,products/p11.jpg
12,iPhone 15 Pro 256GB,"6.1in ProMotion OLED, A17 Pro, 48MP triple camera, titanium design",1850000.00,7,Smartphones & Tablets,products/p12.jpg
13,iPhone 15 Pro Max 256GB,"6.7in ProMotion OLED, A17 Pro, 48MP periscope camera, titanium",2100000.00,5,Smartphones & Tablets,products/p13.jpg
14,Tecno Spark 20 Pro,"6.78in AMOLED 120Hz, 256GB, 5000mAh, 50MP AI camera, 33W charge",180000.00,40,Smartphones & Tablets,products/p14.jpg
15,Tecno Spark 20C,"6.56in IPS, 128GB, 5000mAh, 50MP camera, 18W fast charge, budget",120000.00,55,Smartphones & Tablets,products/p15.jpg
16,Tecno Camon 20 Pro,"6.67in AMOLED, 256GB, 64MP RGBW camera, 5000mAh, 33W fast charge",280000.00,22,Smartphones & Tablets,products/p16.jpg
17,Tecno Phantom X2 Pro,"6.8in AMOLED 120Hz, 256GB, 50MP retractable portrait lens, 5160mAh",420000.00,15,Smartphones & Tablets,products/p17.jpg
18,Infinix Hot 40 Pro,"6.78in IPS LCD, 256GB, 5000mAh, 108MP camera, 33W fast charge",160000.00,35,Smartphones & Tablets,products/p18.jpg
19,Infinix Hot 40i,"6.56in IPS, 128GB, 5000mAh, 50MP camera, 18W charge, budget",100000.00,60,Smartphones & Tablets,products/p19.jpg
20,Infinix Zero 30 5G,"6.78in AMOLED 144Hz, 256GB, 50MP front camera, 5000mAh, 68W charge",250000.00,20,Smartphones & Tablets,products/p20.jpg
21,Xiaomi Redmi Note 13,"6.67in AMOLED 120Hz, 128GB, 5000mAh, 108MP camera, Snapdragon 685",220000.00,30,Smartphones & Tablets,products/p21.jpg
22,Xiaomi Redmi Note 13 Pro,"6.67in AMOLED 120Hz, 256GB, 200MP camera, 5100mAh, 67W fast charge",350000.00,18,Smartphones & Tablets,products/p22.jpg
